Time	resetn	IF_pc	IF_inst	ID_pc	EXE_pc	MEM_pc	WB_pc	cpu_5_valid	HI_data	LO_data	rf_data	mem_data
              895000	1	000000c8	179d0007	000000c4	000000c0	000000c0	000000e0	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              905000	1	000000c8	a0af0008	000000c4	000000c0	000000c0	000000e0	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              915000	1	000000cc	a0af0008	000000c8	000000c4	000000c0	000000c0	000fff0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              925000	1	000000cc	80b20008	000000c8	000000c8	000000c4	000000c0	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              935000	1	000000d0	80b20008	000000cc	000000c8	000000c8	000000c4	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              945000	1	000000d0	90b30008	000000cc	000000cc	000000c8	000000c8	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              955000	1	000000d4	90b30008	000000d0	000000cc	000000cc	000000c8	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              965000	1	000000d4	2df8ffff	000000d0	000000d0	000000cc	000000c8	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              975000	1	000000d8	2df8ffff	000000d4	000000d0	000000d0	000000cc	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              985000	1	000000d8	0185e825	000000d4	000000d4	000000d0	000000cc	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              995000	1	000000dc	0185e825	000000d8	000000d4	000000d4	000000d0	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
