time_ps,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,inst_paddr,tlb_s0_found,tlb_s0_pfn,cpu_5_valid,HI_data,LO_data,rf_data,mem_data,dm_addr,dm_paddr,tlb_s1_found,tlb_s1_pfn,dm_wen,dm_wdata
1215000,1,00000044,00000038,00000034,00000034,00000030,8d090001,00000044,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
1225000,1,00000044,00000038,00000034,00000034,00000030,0000000c,00000044,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
1235000,1,00000048,00000044,00000034,00000034,00000030,0000000c,00000048,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
1245000,1,00000048,00000044,00000044,00000034,00000030,24010001,00000048,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
1255000,1,0000004c,00000048,00000044,00000044,00000030,24010001,0000004c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
1265000,1,0000004c,00000048,00000048,00000044,00000044,00011100,0000004c,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
1275000,1,00000000,0000004c,00000048,00000048,00000044,00011100,00000000,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000001,00000001,0,00000,0,00004400
1285000,1,00000000,0000004c,00000048,00000048,00000044,ac010000,00000000,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000001,00000001,0,00000,0,00004400
1295000,1,00000004,00000000,00000048,00000048,00000044,ac010000,00000004,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000001,00000001,0,00000,0,00004400
1305000,1,00000004,00000000,00000000,00000048,00000044,ac020004,00000004,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000001,00000001,0,00000,0,00004400
1315000,1,00000008,00000004,00000000,00000000,00000044,ac020004,00000008,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,f,00000044
1325000,1,00000008,00000004,00000004,00000000,00000000,ac030008,00000008,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000044
